gx,gy,gz,ax,ay,az
7.3,-0.8,284.9,5,-14.4,8.2
6.6,-1.8,285.2,-3.4,-12,17.8
6.7,-0.4,286.8,2,-7,-16.4
4,0.4,287.4,2,4,23
7.8,1.2,287.8,-6.8,-1.6,-14.4
7.9,1.6,289.7,-0.6,5.4,-24.6
8.4,2.3,289.8,-2.2,-12.2,-25.8
7,2.8,289.8,-0.2,-0.2,-5.6
6.4,3.3,289.6,0.4,-1.8,-1.2
5.5,3.3,288.2,1.8,10.2,0.2
6,3.1,287.4,2.2,1.2,-5.4
6.2,3.6,286.8,0.4,-9.6,1.6
5.9,3.5,285.9,-1.2,-3,-7.2
6.5,3.2,284.8,5,3.2,8.2
5.2,3.2,283.7,1.8,1,-13.4
6.2,2.8,283.4,-1.6,3,9
6.6,2.9,284,3,4,-23
6.8,2.5,283.7,0.6,8.2,-7
7.6,2.2,283.3,-0.4,10.4,-0.2
5.7,1.1,283.7,-1.4,-19.6,32.4
8.4,1.3,285.3,0,-1.8,31.2
6.5,0.3,286.1,2.8,-3.2,-0.2
6.9,0,285.9,-2.8,-4.2,-13.4
8.3,0.6,284.1,5.4,6,-8.6
8.1,1,280.9,2.2,-0.4,3
8.4,0.5,279.6,-2.4,-2.4,-7.6
6.7,-0.5,279.9,-1.2,-1.8,15.2
7.8,-0.9,281.4,-5.6,-2.6,-6.6
7.8,-0.9,283.2,-0.2,11.4,9.8
8.2,-1.2,286.3,-1.2,-7.4,4.2
7.2,-0.9,288.1,-0.6,2.2,-2.6
7.7,-0.7,289.7,-1.6,15.2,-0.8
9.6,-1,289.9,6,0,-19.2
8.6,-0.2,289.1,0.8,2.4,5.8
8.5,0.4,288.7,-3.2,-0.8,1.8
8.2,1.3,287.9,2.2,-13.2,36.2
8.4,2.1,286.8,0.4,-1.6,-18.4
8.6,2,285.9,1.8,-9.6,29.6
10.1,2.8,285.2,-1.8,6.4,-25.6
10.2,2,285.4,0,32,8.4
9.4,1.8,285,0.8,7.8,-1.8
10.5,1.6,284.1,-2.6,-2.4,-19
8.8,0.5,285.5,1.2,-6.4,5.2
8.6,-0.1,286.3,-0.6,3.4,-9
8.4,-0.7,286.9,4.2,3.6,5
8.1,-0.2,286.6,3.2,-7,8.8
7.5,-0.1,286.4,0.4,3.8,-4.2
8.3,0.4,286.9,0,7.4,-23.4
7.4,0.3,287.3,-0.4,0.2,-1
8.4,0.4,287.6,-0.4,-2,10.6
8,0.4,288.7,0.2,4.6,-20.8
4.6,0.7,288.6,-1.2,-5.6,14
6.6,0.9,288.5,2.8,-1.2,5.6
6.6,1.5,288.4,-1.2,-2,-18.8
6.4,1.5,288.5,1.8,9.8,6.6
6.2,2,287.6,1.6,-10.2,9.4
6.4,2.9,286.3,-0.4,3.2,-9.8
6,2.9,285.4,-1.6,0.8,-7.8
7,2.3,285.7,1.6,-1.2,11
6.8,1.9,285.7,-0.4,4,1
7.7,1.9,285.4,1,-2.2,-2.2
8.1,1.4,285.2,1.8,-5,27.8
8.1,1.1,285.3,-2,-3.8,-5.8
7.8,0.8,285.3,1.4,6.6,2.4
8.3,0.2,285.7,-1,2,-1.8
8.7,-0.2,286.1,2.4,0.8,-3.8
8.2,-0.8,287,-0.8,3.4,-24.2
6.8,-0.8,287.8,-0.8,-20.4,11.4
8.6,-0.4,289,-2.6,-0.6,-12.6
10.6,-0.2,290.2,0.8,-44.8,8.8
9.6,0.5,291.4,0.8,-3.4,3
11.2,1.2,291.9,0.8,11.4,-5.2
10.5,2.1,291.2,2.4,-1.8,17.8
10.8,2.3,289.1,4,6.2,-15.4
7.3,2.3,288.1,0.4,6,-21.2
7.4,2.5,286.8,-1.4,-12,14.6
13.5,3.3,286,-7.4,-12.4,-54.4
12.1,1.9,285.5,5.6,-9.8,6.4
7.5,2.6,285.7,0.6,-2.8,30.6
6.8,2.6,286.1,-8.4,11.6,15
6.9,1.1,286.2,4,-7.4,30.8
5.6,1,286,-1.4,12.2,-18.4
10.8,1.8,285.6,-2.8,6.6,-41
9.6,0.3,285.9,-1.4,-4.6,23.8
10.5,0,286.4,2.4,4,-14.2
9,0.4,286.4,1.6,-3,-2.8
7.6,0.8,286.8,2,6.8,-3.4
8,1.3,286.4,-3.2,-3.8,-10
7.6,1.1,285.5,2.2,-2,-3.2
7.6,0.9,286,-0.4,-0.8,15
7.6,0.8,286.3,-3.6,7.2,-10.2
9,-0.6,285.9,1.4,8.8,36.2
7,-0.4,285.5,4.4,-23.6,41.4
5.4,-0.7,285.1,7,-2,38.8
7.3,0,285.3,-0.4,-1.6,9.2
6.7,-0.9,285.6,3.2,-6.2,20.6
6,-0.7,286.5,5.2,-13,7.6
9.1,-0.5,286.9,-0.4,14,-26.8
10,0.5,287.2,2.2,3.4,20.6
7.6,-0.3,285.2,-11.4,-37,33.6
12.2,-0.5,285.4,-0.2,10.4,-43.8
11,-1.6,287.3,3.2,6.4,-1
7.4,-2.7,288.9,-2.6,38,19.2
10.3,-0.9,289.3,-8.6,-5.8,-7.4
9.1,-0.4,290.2,2.6,33,21.2
7.6,1.5,288.9,0.4,17.8,6.8
8.5,1.9,288.4,5,-3.4,-2.6
8.6,1.3,287.7,3.4,3.8,13.4
9.2,1.8,287.4,1.2,-2.8,-38.8
10.2,1.2,287.2,-4.2,1.2,5.6
7.5,0.8,287.4,0.4,12.4,-2.6
9.9,1.3,287.8,-1.8,6.4,-27
8.7,0.8,287.4,-6.4,1.6,1
7.5,0.8,287.6,-1.2,7.2,-11.6
8.2,1.9,287.4,-2.4,6.4,-12
7.3,1.2,286.9,-0.4,8.2,-5
8.7,0.8,287,-4.6,-16.4,-36.2
6.2,1.2,286.5,5.8,-6.6,44.4
11.4,1.2,286.4,-0.4,-36.2,-25.4
9.3,0.8,286.8,4.2,-3.4,-15.2
8,0.6,286.7,-2.8,-3.4,-7.6
8.5,1.1,286.3,1.4,4.8,-9.4
9.2,0.6,285.8,-2.6,-2.4,-16.4
7,1.2,285.6,-2.4,-2,14
8.4,1.4,286.2,-1,2.2,-27.8
7.7,0.9,286.1,0,2.4,-2
8.1,0.3,286.1,3.4,2.6,3.8
8.4,-0.7,286.5,0,8.4,1.8
9.8,-0.2,286.9,0.6,-6.4,23.6
7.6,-1,287.5,2.2,15.8,8.2
10.4,-0.9,288,-1.4,-4.4,5
9.4,-1.3,288.3,-3,-1.8,-12.6
10.5,-1.2,290.1,-2,-16.8,18
5.6,-2,290.9,-6,-12.8,-48
5.6,0.4,292.1,6.8,38.4,-1
9,1.4,292.7,-6.6,7.8,-29.6
6.6,1.4,292.5,5.6,2.2,-1.4
7.5,2.9,291.6,-3,1.6,-6.8
7.7,3.1,291,3.8,-0.4,6.8
7.7,3.9,290,-0.6,-0.2,1.6
7.7,4.1,289.6,-0.8,-3.8,8.4
7.7,3.8,289.3,-1,-11,-6.2
7,3,288.1,2.4,1.4,10.4
7.3,2.3,287.2,2.6,0.4,-1.2
7,2.4,287,0,-0.6,5.2
7.6,2.1,286.6,-1.6,-5,-1.2
7.6,1.4,286.6,0.2,-3.8,-1.4
6.8,1,286.6,0.2,1.4,10.8
6.8,0.4,286.9,-0.8,-5.8,-0.4
7,0.2,287.2,1,-4.8,3.2
7,-0.3,287.1,0.8,3.6,-9.4
6.5,-1,287,3.2,5.4,3
6.6,-0.7,287.7,0.4,0.6,4.8
6.4,-0.7,288.3,1.2,-3.6,2.2
7.5,-0.6,288.6,1,-14.4,7.2
6.2,-0.8,288.5,-0.2,-2.4,-4.8
7.1,0.3,288.3,-1.4,0.8,8.8
8,0.3,288.2,-1,-1,-12
7.4,0.2,287.9,-0.8,3,-2
7.7,-0.6,287.9,2.4,7.4,-6.6
7.8,-0.7,287.9,-2.4,-3.6,3.6
6.5,-1,288.1,-0.6,10,-2.6
5.9,-0.9,289.2,-1.6,-9.8,41.6
8.2,-1.5,289.7,-2.6,12.8,-11
7.2,-1.6,289.9,-1.2,-0.4,13.2
4.4,-1.3,291.5,-2.6,-16.6,68.6
4.3,-1,292.5,-3,-10,-23.2
7.7,-1,293.3,3,-17,-19.8
5.8,-0.9,294,3.2,4.2,10.4
6.1,0.2,294,-4,-14.6,33.6
6.1,1.3,295.3,1.8,-16.2,27.8
8,2.6,295.7,-0.6,0.2,-8.8
7.4,3.2,294.3,3.6,-2.6,2.2
7.7,3.5,293.5,1.4,1.6,-2.6
7.1,3.9,292.3,-1.4,-1.2,6.6
8.1,3.6,292.4,-0.8,2.8,-12.2
5.9,2.7,292.1,3,-0.4,43.8
7.2,2.2,291.3,-7.6,6.4,-27.4
8.2,2.9,291.2,-0.2,-9.6,-29.2
6.4,2.4,291,-9.6,-18.8,-38.8
5,3.6,291.2,-6.6,1,20.2
6.8,3.6,291.3,6.8,17,-21.8
4.5,3.5,290.4,1,-2.4,31.8
5.4,2.8,289.7,6.6,7.8,3.2
7.6,1.9,289.8,2.2,-2.2,19.2
7.8,2.1,290.1,-0.8,-0.8,15.8
8.6,2.5,290.3,-1.2,-3.6,2
8.3,3.5,289.8,1,-6.8,-1.8
8.6,4,289.4,1.6,7.4,-11.8
9.2,4.3,288.6,-0.2,3,-8.4
9.4,5.1,287.5,0.8,-10,-1.2
8.3,5.9,286.1,5,-3,23.8
8.3,6,284.2,6,-4.8,17
7.2,6.2,282.2,-1.8,-8.2,21.6
8.3,5.9,278.1,0.2,-8,29
7.8,3.9,276.7,2.6,10.4,27.4
9.4,3.3,275.1,-0.8,-1.2,-14.6
8.6,0.6,275.3,-1.2,1.8,-10.8
9.2,-1.4,276.9,-4,4.4,-19.8
7.6,-2.8,277.8,-1,9.4,5.2
7.4,-4.9,278.7,0.6,-3.4,-9
8.1,-6.5,280.2,2.2,-15.4,11.8
7.7,-7,281.7,-7.2,1.8,2.8
7.5,-5.6,285.9,0.4,6.8,23.2
7.5,-4.7,287.6,3.2,7.8,42.2
12,-3.8,290.2,-5.8,1.2,-61.2
5.2,-3.2,292.3,-0.6,-4.4,34.8
10.2,0.1,293.2,3,-1.6,7
8.2,1,291.7,1.8,-3,26.8
8.6,2.6,290.1,1.2,0.6,8.6
8,4,288.7,2.8,-7,11.2
8.6,5.3,286.9,2.2,0.6,-7.8
6.1,5.3,285.4,0,2.6,23
6.9,5,283.8,2.6,6.2,0.2
8.3,4.4,282.3,4,2,-10.6
7,2.8,280.6,0,-2.4,0.8
8.3,0.9,279.7,0.8,-7,17.8
8.2,-0.3,279.4,0.6,-3.6,-21
7.8,-1.7,279.6,-6,1.8,-10.6
7.5,-2.3,281.5,-6.2,12.6,-15.6
7.5,-3.4,282.8,-8,21.2,-39.8
7.5,-2.6,284.5,-6.6,17,16
10,-2,287,-5.4,-14,-14.8
7.7,-1.4,288.8,0.4,2.6,3
4.9,-0.8,289.5,3.8,3.2,-4.6
5.7,1.1,288.7,-5.2,12.8,-2.6
5.7,2,287.5,-0.6,12.2,12
5.3,3.1,287.1,-1,-14.6,-41.4
1.1,2,287.4,4,12.2,36.8
4.7,2,286.9,0.4,2,-31.6
4.1,2.2,286.9,2.4,-4.6,-2.4
4,2.2,286.1,3.6,10.8,-11
5.4,2.5,286.4,4,-10.2,-8.6
8.9,1,287.2,-1.2,-17.2,-9.8
9.3,0.7,287.3,0,2,8.6
11.2,1.1,287.5,-2.2,-10,-10.6
9.1,0.2,288,0.8,-9,26.2
11.9,0.6,288.5,0.2,0.2,8.6
10.1,0.1,289.3,1.2,-14,3.8
9.1,0.2,289.1,-2.2,11.2,-17.2
8.6,-0.2,289.2,0,12.8,-13
10.6,0.7,289,-0.4,-4,-7.8
8.6,1.1,289.3,-2,-5,-21.8
7.1,2,289.7,0.4,3.2,-14.6
7.3,3.6,288.7,10.4,7.8,26.4
4.4,2.8,287,-2.6,13.4,-6.4
4.7,2.9,286.5,1.4,2.6,-9
6,2.2,286,2.4,9.4,-3.4
7.9,1.5,285.8,0.8,9.6,11.4
8.9,0.1,286.4,-0.6,0.6,20.6
9.2,1,286.7,0.2,-4.8,-0.6
6.8,0.2,287.7,1,4.8,-3.6
3.2,1.1,287.5,0.4,9.4,28
7,1,285.9,3.4,-10.8,-39.2
3.3,1.2,284.9,-8.2,1.6,-18
2.4,-0.4,285.3,0.8,-2,2
4.2,-2,286.5,-0.2,1,-5.8
6,-2.3,286.9,-9,-11.6,-13.4
6,-2.5,287.8,-5.4,3.8,20.8
6.5,-1.8,288.8,1.6,12.6,3.8
6,-1.5,289.9,-3,-2.6,1.2
5,0.1,290.2,-0.8,2.2,32.8
5.8,1,290.3,-0.8,14.2,6.4
7.1,1.3,289.4,2.4,-8.4,-35
5.1,0.6,289,-3.4,4.2,2
7.7,1,289.1,2,-16.4,13.8
7.1,0.9,289.5,-6.4,-1.2,-1.6
7.3,1.6,289.7,-3.2,7.2,12.2
8,2.5,289.9,-6.6,12.8,-25.2
9.6,1.5,290.3,7,-7.4,-14.6
8.7,1.2,290.7,-0.6,-3.4,6
10.4,1.4,290.7,-2,0.6,-1.2
12.3,2.4,290.2,5.6,5.8,0.2
13.5,1.2,289.7,1.2,5.4,-6.2
12.6,2,288.8,0.4,-10.2,39
12.9,2.4,288.6,-0.4,1.2,1.8
11.4,2.3,288.6,-2,2.6,-14.4
11.1,2.3,288.4,2.6,-7.6,-7.8
13.6,0.8,288,2,-22.4,81.8
14.6,-0.4,287.1,2.2,-8,-6.8
17.6,-0.2,287.1,-4,-32.6,-34.8
13.3,-1.2,287.7,1,14.2,-14.8
14,-0.9,288.1,-5.2,-3,10
10,-0.6,289.3,3.8,5.4,3
9.1,-0.6,289.5,-0.8,-0.4,11.6
9.3,0,289.2,-2.8,-18.4,-1
6.8,0.3,289.8,0.2,12.6,-12.2
8.9,0.5,290.2,-0.4,8.8,-48.4
2.2,-0.4,290.3,7,3.2,65.4
4.3,-0.2,289.8,-10.6,12,-3.2
6.2,-0.1,289.5,14.4,38.4,-3.2
4,-0.4,290,-1,25.8,12.8
6.5,-0.7,289.8,-1.4,-6.2,6.4
7.7,-0.5,288.8,3,-4.6,-11
10.5,-0.4,288.4,-4.2,-37.4,53.2
3.5,-0.6,288.3,-6.2,-6,-11.2
4.7,-1,289.2,-2,39.4,13
5.2,-1.3,290.6,5.4,-1.2,-6.4
4.8,-1,291.2,3.2,1.2,-2.6
5.6,0.3,291.5,-1.4,8.8,-3.2
3.5,-0.2,291.3,3,-11.8,28.2
6.8,1.3,290.7,2.8,-2.6,-8.8
7.9,1,289.7,2,-3.4,-34.4
6.3,1.3,288.8,-3.4,12,19
7.1,1.1,288.7,-1.2,16,-20.6
8.8,0.8,289.1,-9.2,2.8,-43.6
6.8,0.2,290.1,5.2,3.2,62.8
5.5,1.6,291.1,0.2,6.6,-29.4
6.7,0.1,291.8,1,-3.8,-40.6
6.1,3.4,291.3,-4.8,-6,15.2
6.6,2.3,290.9,-0.8,22.8,-4.6
10.5,2.5,291.1,4.4,-16.8,-60.6
2.1,2.6,290.3,-0.6,-50.6,120.2
1.3,3.3,289.1,11.2,95.6,133
2.7,3.1,287.9,12.8,-16.6,70
9.5,3.7,288,-2.6,37.8,-76.2
3,1.9,289,-2.4,-15.8,28
6.1,1,289.4,-3.2,3.6,-19.2
5.1,0.3,290,-2.8,30.8,23
5.7,1.2,291,-9.4,-12.2,-7.8
5.5,0.6,292,2,-4,9.2
7.8,2.7,293.6,-0.8,24.6,-9.6
10.4,2.9,295.1,2.6,5.2,-15.8
12.8,3.5,295.8,4.2,-10.6,-27.6
11.3,4.2,294.3,15.8,-3,-9.8
10.4,5.6,290.6,1.6,-10,-9.2
10.9,6.8,285.8,-3.2,-0.2,-20.4
6.6,6.7,282,6,3.4,46
10.9,6.1,277.4,-5.2,8.2,-47.2
11.3,4.2,276.5,-8,-6.4,-64.2
11.2,1.8,278,-2,4,-45.6
7.7,-2.5,280.8,1.4,-6,-11.8
5.6,-4.4,282.9,-5.2,-4.8,12.6
9.1,-5.4,286.2,-0.6,-2,-28
13.7,-6.8,289.5,-8.2,-55.8,-6.8
10,-6.7,292.6,-1.6,-5.4,-32.4
6.1,-5.1,294.6,4.8,21,43.8
6.5,-2.4,296.1,-3.6,-1.8,-3.4
4.3,-1,296.8,-4.6,0.6,22.8
6.2,1.3,297.1,-1.6,16.2,-7.6
7.7,2.7,296.3,-9.6,-4.2,-11.2
7.8,5.8,293.9,-1.6,27.4,48
7.5,4.4,292.5,-6.4,-10.2,-146
9,5.8,290.4,8.6,-27,13.6
11.6,6.1,289,6,-6.4,12.8
11.2,4.9,289,-14.2,-50.2,-33.4
11.8,5.8,287.8,6.4,-6.4,11
8.5,5.2,288.2,-0.2,-4,5.4
8.2,3.9,288.1,5.6,16.4,-12.2
5.4,2.8,287.8,5,-13,28.8
3.5,3.6,288.2,-6,0.4,21.4
5.5,3,288.7,1.8,-6.2,-43.2
2.4,2.4,290,11,0,63.4
6.7,2.5,289.5,-8.8,-26.8,-55.4
0.3,1.6,288.9,-2.6,3.8,45.4
3.5,1.6,287.3,-7.2,-1.6,27.8
1.9,0.8,288.8,-2.2,-1.2,11.6
2.8,1.3,289.9,-2,16.8,26.2
3.5,2.1,291.8,-7,-12.8,-30.4
6.2,3.1,291.9,-1.8,-21.6,38
5.3,3.4,291,0.8,11.6,-17
8.2,3.3,290.6,-0.2,-23,37.4
4.9,3.2,288.2,-0.2,-3.4,-14
7,4,287.6,-0.2,16.8,-30.2
4.8,3.9,288.2,2,10,1.8
6.6,2.7,288.1,-2.4,-47.2,-0.4
4.2,1,288.2,-5.4,2,-8.4
6.3,1.9,288.7,7.8,26.4,-26.2
2.3,1,289.1,5,-6.2,13.2
6.7,2.6,289,-6.4,-48.6,-37.6
8.2,3.1,288.9,6.6,13.2,22
8.6,2.3,289.8,9.6,6.6,3.2
7.8,0.9,289.8,4.8,-14,11.6
7.4,0.9,289.9,-10,26.8,-7.2
7.3,0.1,289.8,6.2,-47.2,14.2
8.1,-0.3,290,7,24.6,10.6
8.8,0.4,289.9,-0.2,-10.8,-8.2
9.9,0.4,289.8,3.4,-16,-13.8
7.7,-0.8,290.2,1.8,7,-15.4
7.2,-0.2,290.9,1.2,-6,9.6
6.5,0.2,290.7,-3.4,-13,27
8.2,1.1,291.1,0,2.2,-8.6
8.4,0.7,291.8,1.8,8.4,-11.6
10.5,-0.1,291.9,3.6,-2.8,-1.2
9,1.4,291.4,-0.4,-9.8,8
8.7,2.3,290.4,-2,1.8,-12.2
8.6,1.3,290.5,1.8,9.8,-18.4
7.4,1.2,290.8,8.6,-5.8,52.6
8.5,0.7,291,4,17,17.4
8.9,0.9,290.5,0.2,-5.4,2.4
9.1,0.8,290.4,0,-10.4,9.2
9.3,1.1,290.7,-2.8,8.6,-2.6
8.8,1.7,290.7,4.8,5.2,6.2
9.9,1.3,290.5,-0.2,2.2,-24.2
7,0.6,290.6,2.2,4.8,3
5.8,1.1,290.8,0.4,7,15
7,1.9,290.4,-3.2,10.4,-24.8
2.9,1,290.2,2.6,-0.4,38.6
3.2,1.1,289.9,5.8,7.8,22.6
3.1,0.9,289.3,1.4,-6.2,-1.6
4.9,0.3,288.6,-3.2,-9.4,-8.6
3.9,-0.2,288.3,-1.8,-4.8,10.6
4.8,-0.5,288.7,-1.8,-6.2,-7.4
3.8,-0.6,289.1,1.4,-4,1.8
3.7,-0.6,289.8,1,7.2,-5.8
2.7,-1.2,290,2.4,-1.8,-9.4
3.4,-0.3,290,-0.2,8.4,-11.6
3.1,-0.2,289.9,-1.2,0.2,3.8
3.6,-0.3,289.8,0.6,-11,-23.4
3.1,-0.3,289.2,9.4,8.8,9.2
2.9,0.6,289,-1.6,-8.6,21.6
3.9,0.4,288.3,-0.6,-4,-1.8
3,0.2,288,4.2,3.4,0
2.4,0.4,287.4,-0.6,-1.6,0.2
3,0.4,287.1,-1.6,-5,-15
1.6,0.1,287.3,-1,3,6.8
1.9,-0.4,288.4,2.6,-0.8,-4.6
2.1,0.3,288.3,-2.6,-5,3.8
1.8,-0.2,288.1,1,3,1.4
1.6,-0.2,287.9,-0.2,6.4,-0.6
1.1,-0.5,288.2,1.4,1,1.4
0.7,-0.2,289.4,0.4,2.6,-1.8
1.5,-0.4,291.1,1,2.8,-3.2
1.2,0.1,292.5,-3.4,-1.4,15.2
2.1,0.2,293.3,-1.4,-5.6,-10.8
0.4,0.7,293.2,-1,4.4,4.6
0.7,1.1,291.6,2.4,-1.6,-6
0.3,1.3,289.7,-1.4,-5.4,2.8
0.8,1.5,288.5,-2.2,-1.8,-1.2
0.3,1.5,289.3,-0.4,0.4,6.4
0.4,1.6,289.7,-3.2,0.8,-0.4
1.7,1.5,289.6,-1,6.4,-4.6
3.2,0.9,287.8,2.8,2.2,-4
3.9,1,285.6,0.2,0.8,0.6
4.4,0.9,285.1,2.4,-0.8,1
4.7,0.5,286.1,-0.6,-5.8,0
4.6,-0.3,287,3.2,4,12.6
4.8,-0.4,288.2,1,5.4,-5.8
4.5,-0.7,289.5,0.6,-9.6,8.6
4.2,-0.8,291,-3.8,-2.4,-4.2
